name_club,PCA_feature0,PCA_feature1,PCA_feature2,PCA_feature3,PCA_feature4,PCA_feature5
"L. Messi, FC Barcelona",-4.282540808934346,-7.000846890140664,4.181653584014246,-2.6901139950116106,3.4243308946430355,1.01036178401112
"Cristiano Ronaldo, Juventus",-3.478442790634821,-6.530891922090155,4.71275393113885,0.6623169217647716,4.401532535645912,0.3675941283655843
"Neymar Jr, Paris Saint-Germain",-3.5994572266254017,-7.437619924323108,2.73143379412955,-2.9097594083832576,3.0227356099408995,2.329785979114161
"J. Oblak, Atlético Madrid",16.18779298205719,-1.2466091703849675,2.864575769635566,-1.8759558516485504,5.02706498678382,0.7080814427512423
"E. Hazard, Real Madrid",-3.6270665422269572,-6.650309945144519,2.626115595700922,-2.4029769114237616,3.052540360248444,0.9279859761024998
"K. De Bruyne, Manchester City",-3.4903854094014553,-2.8883810897959328,4.079729497154407,-2.997608273816362,1.184589946701893,1.9248719440526405
"M. ter Stegen, FC Barcelona",16.030705724331217,-1.2703146578733775,4.219128757784054,-2.280628265477471,3.8425171068088035,1.9946724815300843
"V. van Dijk, Liverpool",-2.2758508103550494,3.985444374996984,4.244610911439281,-0.6439656810472126,3.4130979911907593,0.0930218683984206
"L. Modric, Real Madrid",-3.578991227642252,-1.5059848635204953,2.4271449776812135,-4.181580531966153,1.8114128601744146,0.8976137945082658
"M. Salah, Liverpool",-3.589731885741447,-4.883491753943967,2.6188940239856766,-1.2625049973508713,3.5789811880647853,-0.647508583632448
"K. Mbappe, Paris Saint-Germain",-3.4486803224594174,-5.751347782490981,2.6945403608227547,-0.06943506010089724,4.4152971828366,0.7899262416985565
"K. Koulibaly, Napoli",-0.6928003558324187,7.264117004886841,2.912819710803388,0.1334146917464528,4.4278105550507565,1.2586508084790162
"H. Kane, Tottenham Hotspur",-2.741089328774007,-3.7070011929200213,5.243854194361503,0.6078513239083353,1.8205815834599481,0.7988871195529497
"Alisson, Liverpool",15.769981181766187,-1.776543506836609,3.70870600706975,-2.33732694568795,3.3580209482421615,0.7321187889874405
"De Gea, Manchester United",15.784481930923299,-1.655889199645394,2.5758464822757388,-2.694777175655923,4.2907184668864025,0.6029142500582314
"N. Kante, Chelsea",-3.095288693013151,2.754386785496943,2.003146052769383,-2.8495638629451605,3.217154472228016,0.18535720324431992
"G. Chiellini, Juventus",-0.7105365868026525,5.890182765023065,3.458815737950394,-0.11471710853899439,3.35918740061523,0.6365315989567364
"S. Aguero, Manchester City",-2.9487080234352634,-6.316412481287412,3.9762521543416285,0.45265336420877017,2.919947230199447,0.6996910059552516
"Sergio Ramos, Real Madrid",-2.794508785391582,2.4652095020512004,3.690853595546672,-0.5603457016488282,2.756961070726066,-0.6687631421720387
"L. Suarez, FC Barcelona",-3.2124305708651,-3.9256231956449383,4.822865988045427,0.11328146755307539,1.747651710721679,0.38402457214116725
"R. Lewandowski, FC Bayern München",-2.838639253018545,-4.847256856884018,4.57000067857339,1.187540183831631,2.479312315412659,0.5942098411712744
"Sergio Busquets, FC Barcelona",-3.1521897769634104,3.0669962898852465,5.374012955029028,-3.410600755699168,0.9636085911436847,0.05837590050682288
"A. Griezmann, FC Barcelona",-3.5523670703246,-3.4470978968233963,3.167730555267928,-1.0955258315031087,2.7360216920922555,-0.5625485837785683
"P. Dybala, Juventus",-3.638225099402857,-5.14725048516704,2.84019522791212,-2.3344234842861535,2.6560004476569183,0.0620326708272091
"P. Pogba, Manchester United",-3.4535843337606362,-1.5093068393548148,4.464250054645016,-1.213139026595569,1.467301854997036,0.37047126666241903
"Ederson, Manchester City",16.002215977538626,-2.0491034155001246,2.692956446529063,-2.918514880589003,4.378033652593266,0.4596323012872574
"R. Sterling, Manchester City",-3.3787576437655225,-5.301663425153141,0.7957973289151973,-2.8622340112083013,3.511493245355223,-0.16056113815765807
"C. Eriksen, Tottenham Hotspur",-3.3244371848880387,-4.216290598630621,3.1719823039151285,-4.029997959737267,0.7836326155877773,2.240791672577859
"T. Courtois, Real Madrid",15.381267000247842,-1.3611936927722146,2.377700015099676,-1.6933691686347723,4.058407124625468,-0.5607741653883859
"Pique, FC Barcelona",-2.334552628751627,3.775972439936962,4.803597372937699,-0.8156015992543363,1.8686247501753512,-0.11056019822931613
"S. Handanovic, Inter",15.637800300357199,-0.8930713445235228,2.5109938441281954,-1.092029870246072,4.37659383039421,-0.6116832032296168
"M. Neuer, FC Bayern München",16.032630521972134,-1.8686633068652867,3.555803597165069,-1.477697827227308,3.7196823814402724,1.7434913661544573
"H. Lloris, Tottenham Hotspur",15.254386880333348,-1.258706043492149,1.1593149451720175,-2.4509511363086958,5.0787577476466765,-1.697262369685391
"David Silva, Manchester City",-3.5918572533398114,-4.00030120286561,3.1305257781744853,-4.226085678344327,2.0736271450083446,-1.6575756234100658
"E. Cavani, Paris Saint-Germain",-2.6254724818984227,-2.6623997433812634,4.419677384321858,1.5427042067830525,2.0017159721425752,0.6161331879888663
"D. Godin, Inter",-1.2618847186470716,5.687123958295423,3.7325625277319077,-0.159629308478423,2.6657070992036385,0.6620882215714874
"T. Kroos, Real Madrid",-3.483971916244272,-1.2515647736119315,5.749187269702402,-4.842854156817946,-1.2535591521576535,2.4019371042033826
"M. Reus, Borussia Dortmund",-3.448987076175837,-5.583403853272297,2.9224465947872815,-1.9765551963978323,2.0331907674249265,0.5815347189590901
"P. Aubameyang, Arsenal",-3.2492209235221408,-5.561302100293719,3.308136105519531,0.2054665382279009,3.350196505122276,0.9596563815562623
"S. Mane, Liverpool",-3.2779929536409,-4.738091122248372,2.132324074718597,-0.13290304689378718,3.795998515819513,0.6972412554014752
"A. Laporte, Manchester City",-2.1891457363315245,4.514901914432705,3.7311925452744803,-1.7166856141061164,2.8561858704793543,0.22512748221025242
"Bernardo Silva, Manchester City",-3.5417751233451598,-3.724143176525723,1.5461398226641876,-3.4698758453993523,2.2475364369043493,-0.15100961261392998
"Casemiro, Real Madrid",-2.591708748828557,3.013580053474392,4.684183504649039,-1.1647503331732094,1.380450923006965,-0.156819076100712
"H. Son, Tottenham Hotspur",-3.069776116866121,-5.191032763496872,2.5578101574978658,-1.3674123717564703,2.1087375155116463,2.186233798594432
